Time [ISO8601],Flare Class,Peak Flux [W/m2]
"2011-02-18T16:39:00Z","C3.3",3.39094e-06
"2011-02-18T17:53:00Z","C5.5",5.52593e-06
"2011-02-18T18:21:00Z","C4.5",4.56059e-06
"2011-02-18T19:06:00Z","C6.3",6.31277e-06
"2011-02-18T19:18:00Z","M1.0",1.01771e-05
"2011-02-18T21:04:00Z","M1.9",1.96528e-05
"2011-02-18T22:36:00Z","C3.1",3.16029e-06
"2011-02-19T01:12:00Z","C1.2",1.25145e-06
"2011-02-19T01:37:00Z","C1.8",1.86388e-06
"2011-02-19T02:25:00Z","C2.5",2.59378e-06
"2011-02-19T03:03:00Z","C4.9",4.95027e-06
"2011-02-19T05:09:00Z","C3.3",3.30533e-06
"2011-02-19T05:36:00Z","C2.3",2.39688e-06
"2011-02-19T07:05:00Z","C3.7",3.73801e-06
"2011-02-19T07:44:00Z","C2.7",2.73858e-06
"2011-02-19T08:04:00Z","M1.2",1.22421e-05
"2011-02-19T08:51:00Z","C3.8",3.84767e-06
"2011-02-19T10:08:00Z","C1.5",1.50634e-06
"2011-02-19T10:26:00Z","C1.5",1.51451e-06
"2011-02-19T11:52:00Z","C2.0",2.09449e-06
"2011-02-19T12:24:00Z","C1.6",1.61399e-06
"2011-02-19T13:59:00Z","C1.4",1.48765e-06
"2011-02-19T14:10:00Z","C1.1",1.15554e-06
"2011-02-19T14:53:00Z","C1.4",1.46688e-06
"2011-02-19T15:29:00Z","C2.1",2.18718e-06
"2011-02-19T15:46:00Z","C2.0",2.04660e-06
"2011-02-19T16:06:00Z","C2.2",2.25844e-06
"2011-02-19T16:30:00Z","C2.8",2.83501e-06
"2011-02-19T16:43:00Z","C8.7",8.71373e-06
"2011-02-19T18:41:00Z","C1.0",1.05367e-06
"2011-02-19T19:49:00Z","B7.5",7.59980e-07
"2011-02-19T21:13:00Z","C2.8",2.81892e-06
"2011-02-20T01:15:00Z","C1.6",1.65173e-06
"2011-02-20T01:23:00Z","C1.6",1.68651e-06
"2011-02-20T03:57:00Z","C2.4",2.44701e-06
"2011-02-20T06:28:00Z","C1.1",1.12145e-06
"2011-02-20T12:29:00Z","B6.6",6.66319e-07
"2011-02-20T18:08:00Z","B7.7",7.76890e-07
"2011-02-20T18:37:00Z","B8.7",8.76366e-07
"2011-02-20T19:52:00Z","B9.5",9.59618e-07
"2011-02-20T23:03:00Z","B4.3",4.37520e-07
"2011-02-20T23:36:00Z","B7.2",7.21055e-07
"2011-02-21T01:25:00Z","B4.9",4.93104e-07
"2011-02-21T01:46:00Z","C1.2",1.24777e-06
"2011-02-21T02:24:00Z","C6.7",6.72562e-06
"2011-02-21T03:15:00Z","C2.6",2.64076e-06
"2011-02-21T04:10:00Z","C2.1",2.14441e-06
"2011-02-21T05:06:00Z","C5.9",5.90416e-06
"2011-02-21T06:10:00Z","C6.2",6.20024e-06
"2011-02-21T08:47:00Z","B7.2",7.27990e-07
"2011-02-21T09:06:00Z","C3.9",3.95988e-06
"2011-02-21T10:04:00Z","C2.6",2.61589e-06
"2011-02-21T10:12:00Z","M1.1",1.13257e-05
"2011-02-21T11:46:00Z","B6.8",6.85587e-07
"2011-02-21T13:07:00Z","B4.9",4.90638e-07
